address,category,generalized_pattern,sample_value,inferred_type
/Aux_Outputs/1/Buss_Trim/name,Aux_Outputs,/Aux_Outputs/{n}/Buss_Trim/name,"[""IEM 5""]",string
/Aux_Outputs/1/Buss_Trim/phase,Aux_Outputs,/Aux_Outputs/{n}/Buss_Trim/phase,[0.0],float (0/1 flag)
/Aux_Outputs/1/Buss_Trim/post_meter,Aux_Outputs,/Aux_Outputs/{n}/Buss_Trim/post_meter,[],none (meter/empty)
/Aux_Outputs/1/Buss_Trim/post_meter/right,Aux_Outputs,/Aux_Outputs/{n}/Buss_Trim/post_meter/right,[],none (meter/empty)
/Aux_Outputs/1/Buss_Trim/pre_meter,Aux_Outputs,/Aux_Outputs/{n}/Buss_Trim/pre_meter,[],none (meter/empty)
/Aux_Outputs/1/Buss_Trim/pre_meter/right,Aux_Outputs,/Aux_Outputs/{n}/Buss_Trim/pre_meter/right,[],none (meter/empty)
/Aux_Outputs/1/Buss_Trim/trim,Aux_Outputs,/Aux_Outputs/{n}/Buss_Trim/trim,[0.0],float (0/1 flag)
/Aux_Outputs/1/Buss_Trim/tube_meter/left,Aux_Outputs,/Aux_Outputs/{n}/Buss_Trim/tube_meter/left,[],none (meter/empty)
/Aux_Outputs/1/Buss_Trim/tube_meter/right,Aux_Outputs,/Aux_Outputs/{n}/Buss_Trim/tube_meter/right,[],none (meter/empty)
/Aux_Outputs/1/CGs_level,Aux_Outputs,/Aux_Outputs/{n}/CGs_level,[0.0],float (0/1 flag)
/Aux_Outputs/1/CGs_mute,Aux_Outputs,/Aux_Outputs/{n}/CGs_mute,[0.0],float (0/1 flag)
/Aux_Outputs/1/Channel_Delay/delay,Aux_Outputs,/Aux_Outputs/{n}/Channel_Delay/delay,[0.0],float (0/1 flag)
/Aux_Outputs/1/Channel_Delay/delay_on,Aux_Outputs,/Aux_Outputs/{n}/Channel_Delay/delay_on,[0.0],float (0/1 flag)
/Aux_Outputs/1/Channel_Delay/fine_delay,Aux_Outputs,/Aux_Outputs/{n}/Channel_Delay/fine_delay,[0.0],float (0/1 flag)
/Aux_Outputs/1/Dynamics/GR_meter_1,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/GR_meter_{n},[],none (meter/empty)
/Aux_Outputs/1/Dynamics/GR_meter_2,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/GR_meter_{n},[],none (meter/empty)
/Aux_Outputs/1/Dynamics/GR_meter_3,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/GR_meter_{n},[],none (meter/empty)
/Aux_Outputs/1/Dynamics/GR_meter_4,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/GR_meter_{n},[],none (meter/empty)
/Aux_Outputs/1/Dynamics/comp-multiband-desser,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp-multiband-desser,[0.0],float (0/1 flag)
